toronto/10 St MaryTransportation Study.txt,CHARLES ST AT YONGE ST (PX 921),x,2010-Aug-11,08:15-09:15,115,475,0,127,357,159,0,440,38,0,0,0,297,255,257,128,48,32,0,1,,
toronto/10 St MaryTransportation Study.txt,CHARLES ST AT YONGE ST (PX 921),x,2010-Aug-11,17:00-18:00,77,594,0,94,185,141,0,783,44,0,0,0,760,388,859,473,59,31,20,2,,
toronto/10 St MaryTransportation Study.txt,CHARLES ST AT YONGE ST (PX 921),x,2010-Aug-11,OFF HR,61,446,0,97,194,92,0,475,46,0,0,0,501,227,558,296,37,10,4,4,,
toronto/10 St MaryTransportation Study.txt,CHARLES ST AT YONGE ST (PX 921),x,2010-Aug-11,07:30-09:30,253,915,0,197,630,287,0,856,69,0,0,0,515,376,434,194,81,52,1,4,,
toronto/10 St MaryTransportation Study.txt,CHARLES ST AT YONGE ST (PX 921),x,2010-Aug-11,16:00-18:00,150,1195,0,160,335,256,0,1437,90,0,0,0,,679,,,,54,,,,
toronto/10 St MaryTransportation Study.txt,CHARLES ST AT YONGE ST (PX 921),x,2010-Aug-11,07:30-09:30/10:00-12:00/13:00-15:00/16:00-18:00,648,3891,0,746,1742,911,0,4188,345,0,0,0,,,,,,,,,,
toronto/101king_vibration-report.txt,CHURCH ST AT KING ST (PX 16),x,2009-Apr-23,08:15-09:15,70,374,24,57,474,15,29,371,45,79,294,12,468,129,563,233,0,0,0,0,,
toronto/101king_vibration-report.txt,CHURCH ST AT KING ST (PX 16),x,2009-Apr-23,17:00-18:00,54,529,46,51,394,7,82,473,49,88,769,31,649,488,774,292,0,0,0,0,,
toronto/101king_vibration-report.txt,CHURCH ST AT KING ST (PX 16),x,2009-Apr-23,OFF HR,67,305,38,39,268,21,36,227,33,77,263,57,431,291,433,202,0,0,0,0,,
toronto/101king_vibration-report.txt,CHURCH ST AT KING ST (PX 16),x,2009-Apr-23,07:30-09:30,126,683,41,92,833,24,47,654,90,155,490,29,738,191,903,333,0,0,0,0,,
toronto/101king_vibration-report.txt,CHURCH ST AT KING ST (PX 16),x,2009-Apr-23,16:00-18:00,104,882,83,89,690,13,137,825,94,175,1305,43,,774,,455,,0,,0,,
